TEST,TEST,0,0,0,0
20:17:55.026,REST,258.0000,115,136,9.000000
20:17:55.026,gRPC,269.0000,45,80,3.000000
20:17:55.126,gRPC,306.0000,45,80,3.000000
20:17:55.126,REST,329.0000,115,136,8.000000
20:17:55.226,REST,313.0000,115,136,6.000000
20:17:55.226,gRPC,359.0000,45,80,2.000000
20:17:55.325,gRPC,227.0000,45,80,2.000000
20:17:55.325,REST,238.0000,115,136,8.000000
20:17:55.426,REST,329.0000,115,136,11.000000
20:17:55.426,gRPC,368.0000,45,80,4.000000
20:17:55.526,REST,337.0000,115,136,10.000000
20:17:55.526,gRPC,495.0000,45,80,4.000000
20:17:55.626,gRPC,429.0000,45,80,5.000000
20:17:55.626,REST,503.0000,115,136,12.000000
20:17:55.726,gRPC,371.0000,45,80,3.000000
20:17:55.726,REST,445.0000,115,136,11.000000
20:17:55.825,REST,313.0000,115,136,23.000000
20:17:55.825,gRPC,321.0000,45,80,3.000000
20:17:55.926,gRPC,445.0000,45,80,5.000000
20:17:55.926,REST,607.0000,115,136,12.000000
20:17:56.026,gRPC,504.0000,45,80,5.000000
20:17:56.026,REST,541.0000,115,136,13.000000
20:17:56.126,REST,267.0000,115,136,7.000000
20:17:56.126,gRPC,275.0000,45,80,4.000000
20:17:56.226,gRPC,276.0000,45,80,3.000000
20:17:56.226,REST,280.0000,115,136,8.000000
20:17:56.325,REST,318.0000,115,136,9.000000
20:17:56.325,gRPC,470.0000,45,80,3.000000
20:17:56.426,gRPC,399.0000,45,80,5.000000
20:17:56.426,REST,443.0000,115,136,12.000000
20:17:56.526,gRPC,387.0000,45,80,5.000000
20:17:56.526,REST,430.0000,115,136,10.000000
20:17:56.626,gRPC,452.0000,45,80,6.000000
20:17:56.626,REST,541.0000,115,136,11.000000
20:17:56.726,gRPC,329.0000,45,80,3.000000
20:17:56.726,REST,399.0000,115,136,23.000000
20:17:56.826,REST,412.0000,115,136,9.000000
20:17:56.826,gRPC,459.0000,45,80,3.000000
20:17:56.926,gRPC,376.0000,45,80,5.000000
20:17:56.926,REST,464.0000,115,136,12.000000
20:17:57.026,REST,426.0000,115,136,12.000000
20:17:57.026,gRPC,498.0000,45,80,6.000000
20:17:57.125,gRPC,337.0000,45,80,5.000000
20:17:57.125,REST,455.0000,115,136,16.000000
20:17:57.226,gRPC,534.0000,45,80,5.000000
20:17:57.226,REST,562.0000,115,136,13.000000
20:17:57.325,gRPC,500.0000,45,80,5.000000
20:17:57.326,REST,557.0000,115,136,15.000000
20:17:57.425,gRPC,480.0000,45,80,5.000000
20:17:57.426,REST,582.0000,115,136,17.000000
20:17:57.526,gRPC,530.0000,45,80,7.000000
20:17:57.526,REST,568.0000,115,136,17.000000
20:17:57.626,gRPC,506.0000,45,80,5.000000
20:17:57.626,REST,575.0000,115,136,17.000000
20:17:57.726,REST,512.0000,115,136,14.000000
20:17:57.726,gRPC,612.0000,45,80,7.000000
20:17:57.826,REST,490.0000,115,136,14.000000
20:17:57.826,gRPC,555.0000,45,80,5.000000
20:17:57.926,gRPC,432.0000,45,80,7.000000
20:17:57.926,REST,464.0000,115,136,13.000000
20:17:58.025,gRPC,488.0000,45,80,7.000000
20:17:58.026,REST,572.0000,115,136,16.000000
20:17:58.126,REST,569.0000,115,136,17.000000
20:17:58.126,gRPC,607.0000,45,80,7.000000
20:17:58.225,gRPC,234.0000,45,80,3.000000
20:17:58.225,REST,244.0000,115,136,8.000000
20:17:58.326,REST,406.0000,115,136,12.000000
20:17:58.326,gRPC,454.0000,45,80,5.000000
20:17:58.426,REST,499.0000,115,136,15.000000
20:17:58.426,gRPC,640.0000,45,80,8.000000
20:17:58.525,REST,507.0000,115,136,13.000000
20:17:58.526,gRPC,653.0000,45,80,7.000000
20:17:58.625,gRPC,477.0000,45,80,6.000000
20:17:58.626,REST,587.0000,115,136,14.000000
20:17:58.725,REST,447.0000,115,136,12.000000
20:17:58.726,gRPC,593.0000,45,80,6.000000
20:17:58.826,REST,553.0000,115,136,13.000000
20:17:58.826,gRPC,666.0000,45,80,31.000000
20:17:58.926,REST,419.0000,115,136,10.000000
20:17:58.926,gRPC,425.0000,45,80,3.000000
20:17:59.026,REST,301.0000,115,136,23.000000
20:17:59.026,gRPC,318.0000,45,80,2.000000
20:17:59.125,gRPC,233.0000,45,80,3.000000
20:17:59.125,REST,249.0000,115,136,8.000000
20:17:59.226,gRPC,234.0000,45,80,4.000000
20:17:59.226,REST,245.0000,115,136,9.000000
20:17:59.325,REST,399.0000,115,136,12.000000
20:17:59.325,gRPC,443.0000,45,80,6.000000
20:17:59.426,gRPC,487.0000,45,80,5.000000
20:17:59.426,REST,566.0000,115,136,13.000000
20:17:59.526,REST,397.0000,115,136,12.000000
20:17:59.526,gRPC,543.0000,45,80,7.000000
20:17:59.626,gRPC,197.0000,45,80,3.000000
20:17:59.626,REST,220.0000,115,136,6.000000
20:17:59.726,gRPC,432.0000,45,80,3.000000
20:17:59.726,REST,480.0000,115,136,24.000000
20:17:59.826,gRPC,395.0000,45,80,5.000000
20:17:59.826,REST,436.0000,115,136,13.000000
20:17:59.926,REST,434.0000,115,136,15.000000
20:17:59.926,gRPC,464.0000,45,80,5.000000
20:18:00.026,REST,394.0000,115,136,12.000000
20:18:00.026,gRPC,463.0000,45,80,6.000000
20:18:00.126,REST,337.0000,115,136,12.000000
